Company Name,NIFTY closing ,Date ,Market Capitalisation,EPS ,P/E ,P/B ,NIFTY closing ,Date ,Market Capitalisation,EPS ,P/E ,P/B ,NIFTY closing ,Date ,Market Capitalisation,EPS ,P/E ,P/B ,NIFTY closing ,Date ,Market Capitalisation,EPS ,P/E ,P/B ,NIFTY closing ,Date ,Market Capitalisation,EPS ,P/E ,P/B ,NIFTY closing ,Date ,Market Capitalisation,EPS ,P/E ,P/B ,NIFTY closing ,Date ,Market Capitalisation,EPS ,P/E ,P/B ,NIFTY closing ,Date ,Market Capitalisation,EPS ,P/E ,P/B ,NIFTY closing ,Date ,Market Capitalisation,EPS ,P/E ,P/B ,NIFTY closing ,Date ,Market Capitalisation,EPS ,P/E ,P/B ,NIFTY closing ,Date ,Market Capitalisation,EPS ,P/E ,P/B 
A I A Engineering Ltd.,5682.55,28-03-2013,29984.45,16.09,19.76,2.82,6704.2,31-03-2014,52710.94,33.37,16.75,4.02,8491,31-03-2015,118140.98,43.93,28.52,7.15,7738.4,31-03-2016,88642.28,65.3,14.39,4.32,9173.75,31-03-2017,149766.6,44.27,35.87,6.18,10113.7,28-03-2018,135953.38,46.27,31.15,5.08,11623.9,29-03-2019,169408.82,55.71,32.24,5.64,8597.75,31-03-2020,131411.86,88.26,15.79,3.64,14690.7,31-03-2021,193611.42,51.64,39.75,4.73,17464.75,31-03-2022,153053.66,61.63,26.33,3.33,17359.75,31-03-2023,273821.47,102.67,28.28,5
A I Champdany Inds. Ltd.,5651.35,22-03-2013,468.78,0.34,56.48,0.63,6601.4,26-03-2014,388,-0.18,,0.5,8491,31-03-2015,490.83,-1.77,,0.67,7738.4,31-03-2016,680.04,-2.09,,1.01,9045.2,27-03-2017,850.05,-2.44,,1.38,10113.7,28-03-2018,924.15,-0.29,,1.61,10348.05,08-10-2018,382.89,-0.35,,0.68,,,,,,,,,,,,,,,,,,,,,,,,
A J R Infra & Tolling Ltd.,5682.55,28-03-2013,8441.3,0.53,21.85,1.31,6704.2,31-03-2014,5541.9,-0.43,,0.96,8491,31-03-2015,12725.63,-0.24,,1.56,7738.4,31-03-2016,4567.59,0.17,29.24,0.51,9173.75,31-03-2017,3814.41,0.18,22.46,0.41,10113.7,28-03-2018,2307.49,0.19,13.04,0.25,11623.9,29-03-2019,565.1,-0.06,,0.07,8597.75,31-03-2020,235.46,-0.15,,0.03,14690.7,31-03-2021,659.28,-0.27,,0.08,17464.75,31-03-2022,1742.39,-5.99,,0.59,17412.9,10-03-2023,941.83,-6.07,,
A K G Exim Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11483.25,26-03-2019,243.95,1.3,28.37,1.35,11633.3,27-02-2020,218.46,0.3,109.23,1.15,14690.7,31-03-2021,704.38,0.82,80.96,3.4,17464.75,31-03-2022,397.21,0.86,43.65,1.8,17359.75,31-03-2023,999.37,0.4,78.08,2.05
A M D Industries Ltd.,5682.55,28-03-2013,191.67,0.27,36.86,0.16,6704.2,31-03-2014,245.33,3.07,4.17,0.21,8491,31-03-2015,399.63,2.44,8.56,0.33,7738.4,31-03-2016,617.17,1.36,23.65,0.5,9173.75,31-03-2017,562.54,1.01,29,0.45,10113.7,28-03-2018,516.54,0.41,66.22,0.43,11623.9,29-03-2019,391.96,-0.13,,0.33,8597.75,31-03-2020,202.21,0.21,50.55,0.16,14690.7,31-03-2021,335.42,-1.66,,0.25,17464.75,31-03-2022,878.8,3.97,11.55,0.63,17359.75,31-03-2023,851,10.02,4.43,0.54
A M I Organics Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17464.75,31-03-2022,36519.05,19.75,50.76,7.05,17359.75,31-03-2023,32418.05,22.87,38.9,5.49
A N G Industries Ltd.,5682.55,28-03-2013,111.8,-5.58,,0.12,6695.9,28-03-2014,95.88,-5.07,,0.11,8491,31-03-2015,580.85,-3.46,,0.69,7738.4,31-03-2016,561.54,-4.88,,0.74,9173.75,31-03-2017,143.2,-66.9,,,10113.7,28-03-2018,71.6,-42.14,,,11623.9,29-03-2019,16.09,-16.85,,,12021.65,04-06-2019,12.07,-16.85,,,,,,,,,,,,,,,,,,,,
A P L Apollo Tubes Ltd.,5682.55,28-03-2013,3742.56,17.6,9.53,1.22,6704.2,31-03-2014,4585.77,11.23,17.42,1.41,8491,31-03-2015,9384.83,13.38,29.93,2.75,7738.4,31-03-2016,15728.5,21.2,31.66,4.53,9173.75,31-03-2017,27705.22,37.72,31.14,3.42,10113.7,28-03-2018,47146.38,60,33.11,5.24,11623.9,29-03-2019,34242.97,45.52,31.68,3.6,8597.75,31-03-2020,31002.96,45.11,27.64,2.43,14690.7,31-03-2021,174960.56,12.27,114.2,12.08,17464.75,31-03-2022,228906.55,19.75,46.31,10.71,17359.75,31-03-2023,334280.7,18.46,65.29,13
A R S S Infrastructure Projects Ltd.,5682.55,28-03-2013,431.2,-84.64,,0.12,6704.2,31-03-2014,316.9,6.34,3.37,0.09,8491,31-03-2015,513.58,4.86,7.11,0.14,7738.4,31-03-2016,490.57,4.33,7.64,0.13,9173.75,31-03-2017,1011.57,-222.07,,2.73,10113.7,28-03-2018,987.96,-23.62,,2.07,11623.9,29-03-2019,936.8,33.05,1.25,3.01,8597.75,31-03-2020,227.38,-19.66,,0.58,14690.7,31-03-2021,428.61,-32.45,,,17464.75,31-03-2022,541.16,-51.4,,,16985.7,27-03-2023,588.91,-35.43,,
A S L Industries Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9998.05,23-03-2018,293.76,-0.89,,1.05,11623.9,29-03-2019,166.67,-2.43,,0.52,10458.4,11-03-2020,82.82,-3.74,,0.25,14736.4,22-03-2021,166.67,-0.73,,0.54,17325.3,29-03-2022,395.85,0.36,106.99,1.23,17076.9,23-03-2023,270.84,1.67,15.57,0.8
