Company Name,NIFTY closing ,Date ,Market Capitalisation,EPS ,P/E ,P/B ,NIFTY closing ,Date ,Market Capitalisation,EPS ,P/E ,P/B ,NIFTY closing ,Date ,Market Capitalisation,EPS ,P/E ,P/B ,NIFTY closing ,Date ,Market Capitalisation,EPS ,P/E ,P/B ,NIFTY closing ,Date ,Market Capitalisation,EPS ,P/E ,P/B ,NIFTY closing ,Date ,Market Capitalisation,EPS ,P/E ,P/B ,NIFTY closing ,Date ,Market Capitalisation,EPS ,P/E ,P/B ,NIFTY closing ,Date ,Market Capitalisation,EPS ,P/E ,P/B ,NIFTY closing ,Date ,Market Capitalisation,EPS ,P/E ,P/B ,NIFTY closing ,Date ,Market Capitalisation,EPS ,P/E ,P/B ,NIFTY closing ,Date ,Market Capitalisation,EPS ,P/E ,P/B 
J S W Holdings Ltd.,5682.55,28-03-2013,4477.03,19.81,20.36,0.65,6704.2,31-03-2014,6695.85,29.13,20.71,0.92,8491,31-03-2015,11802.23,33.07,32.15,1.55,7738.4,31-03-2016,11304.97,32.98,30.88,1.42,9173.75,31-03-2017,16972.99,42.69,35.82,2.01,10113.7,28-03-2018,18369.32,59.52,27.8,2.03,11623.9,29-03-2019,31767.13,78.78,36.33,0.39,8597.75,31-03-2020,16038.4,93.75,15.41,0.23,14690.7,31-03-2021,42720.79,59.2,65.01,0.34,17464.75,31-03-2022,45560.08,121.27,33.85,0.23,17359.75,31-03-2023,42592.59,269.93,14.22,0.22
J S W Ispat Special Products Ltd. [Merged],5682.55,28-03-2013,12720.84,40.77,4.9,0.5,6704.2,31-03-2014,5835.45,10.13,8.75,0.22,8491,31-03-2015,3287.99,-120.88,,0.18,7738.4,31-03-2016,4477.13,-84.91,,0.76,9173.75,31-03-2017,6846.2,-82.81,,,10113.7,28-03-2018,3021.56,-80.74,,,11623.9,29-03-2019,13170.81,-20.86,,,8597.75,31-03-2020,4319.84,-10.5,,,14690.7,31-03-2021,12302.15,-7.74,,,17464.75,31-03-2022,15142.91,-0.47,,,17359.75,31-03-2023,14602.93,-11.21,,
J S W Ispat Steel Ltd. [Merged],5682.55,28-03-2013,22022.27,-1.92,,,5878,10-06-2013,25042.46,0.79,12.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J S W Steel Ltd.,5682.55,28-03-2013,150012.85,92.98,7.23,0.77,6704.2,31-03-2014,250436.12,55.12,18.79,1.07,8491,31-03-2015,219133.12,81.16,11.17,0.88,7738.4,31-03-2016,310189.81,-166.79,,1.52,9173.75,31-03-2017,454920.89,15.26,12.34,1.89,10113.7,28-03-2018,696522.07,15.47,18.62,2.64,11623.9,29-03-2019,708366.45,36.26,8.08,2.11,8597.75,31-03-2020,353518.49,20.4,7.17,0.92,14690.7,31-03-2021,1132346.92,34.21,13.69,2.41,17464.75,31-03-2022,1770976.56,67.38,10.87,2.79,17359.75,31-03-2023,1663289.38,19.57,35.16,2.62
J T E K T India Ltd.,5682.55,28-03-2013,1937.73,1.69,5.77,0.79,6704.2,31-03-2014,4203.39,2.62,8.08,1.58,8491,31-03-2015,9986.78,0.89,56.3,3.81,7738.4,31-03-2016,9162,1.23,37.52,3.33,9173.75,31-03-2017,16227.27,1.3,62.87,5.43,10113.7,28-03-2018,19675.44,1.48,66.95,5.39,11623.9,29-03-2019,26819.51,3.47,31.64,4.51,8597.75,31-03-2020,9644.75,1.16,34.03,1.68,14690.7,31-03-2021,20573.03,0.52,161.74,3.56,17464.75,31-03-2022,18042.66,1.56,47.36,2.97,17359.75,31-03-2023,25364.85,3.15,32.95,3.75
J T L Industries Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17464.75,31-03-2022,13707.74,10.44,22.19,7.2,17359.75,31-03-2023,26976.82,10.9,29.35,8.67
J V L Agro Inds. Ltd.,5682.55,28-03-2013,1805.36,1.88,5.73,0.45,6704.2,31-03-2014,1662.61,0.35,28.67,0.36,8491,31-03-2015,2468.72,1.11,13.19,0.47,7738.4,31-03-2016,2989.33,0.57,31.01,0.52,9173.75,31-03-2017,3425.98,-4.15,,,10113.7,28-03-2018,3652.69,-4.35,,,11623.9,29-03-2019,495.42,-11.39,,,8597.75,31-03-2020,41.98,-4.1,,,11317.35,08-09-2020,109.16,-4.1,,,,,,,,,,,,,,
Jagran Prakashan Ltd.,5682.55,28-03-2013,30867.8,6.63,14.02,3.26,6704.2,31-03-2014,33688.26,6.29,16.38,3.54,8491,31-03-2015,42089.9,6.5,19.8,4.07,7738.4,31-03-2016,52403.97,8.08,19.84,3.89,9173.75,31-03-2017,62767.07,9.68,19.84,3.78,10113.7,28-03-2018,53827.53,9.41,18.36,3.42,11623.9,29-03-2019,37333.07,7.16,17.58,2.88,8597.75,31-03-2020,12808.66,9.29,4.9,0.94,14690.7,31-03-2021,16343.14,3.81,15.43,1.1,17464.75,31-03-2022,17124.34,8.82,7.37,1.04,17359.75,31-03-2023,15790.82,9.42,7.7,1.17
Jagsonpal Pharmaceuticals Ltd.,5682.55,28-03-2013,258.05,0.76,13.03,0.3,6704.2,31-03-2014,267.22,0.78,13.04,0.31,8491,31-03-2015,728.3,0.19,145.66,0.83,7738.4,31-03-2016,857.98,1.24,26.4,0.95,9173.75,31-03-2017,995.52,-0.38,,0.98,10113.7,28-03-2018,704.73,-3.7,,0.77,11623.9,29-03-2019,686.39,1.17,22.36,0.73,8597.75,31-03-2020,459.77,3.01,5.83,0.45,14690.7,31-03-2021,2085.36,5.64,14.11,1.83,17464.75,31-03-2022,8214.38,6.98,44.94,6.19,17359.75,31-03-2023,7592.18,10.82,26.78,4.78
Jai Balaji Inds. Ltd.,5682.55,28-03-2013,1887.93,-38.98,,0.34,6704.2,31-03-2014,686.22,-48.67,,0.37,8491,31-03-2015,811.6,-52.82,,,7738.4,31-03-2016,548.36,-85.32,,,9173.75,31-03-2017,1449.53,-27.33,,,10113.7,28-03-2018,1151.82,-22.45,,,11623.9,29-03-2019,2732.56,-16.24,,,8597.75,31-03-2020,1822.43,-14.67,,,14690.7,31-03-2021,4048,-6.99,,,17464.75,31-03-2022,4843.25,1.94,22.64,,17359.75,31-03-2023,6625.26,2.69,16.92,1.29
Jai Corp Ltd.,5682.55,28-03-2013,9002.77,3.55,14.2,0.4,6704.2,31-03-2014,12402.23,4.31,16.14,0.59,8491,31-03-2015,9984.24,3.42,16.37,0.49,7738.4,31-03-2016,12277.32,-0.43,,1.53,9173.75,31-03-2017,13214.18,-1.39,,1.52,10113.7,28-03-2018,23858.69,-0.02,,2.7,11623.9,29-03-2019,20619.83,1.75,65.9,2.04,8597.75,31-03-2020,9011.7,2.31,21.9,0.93,14690.7,31-03-2021,15105.74,0.56,152.28,1.42,17464.75,31-03-2022,19504.52,2.9,37.65,1.75,17359.75,31-03-2023,24724.17,0.15,954.6,2.23
Jaihind Projects Ltd.,5682.55,28-03-2013,201.98,-29.36,,0.18,6704.2,31-03-2014,146.85,-19.29,,0.22,8491,31-03-2015,120.02,-16.54,,0.39,7738.4,31-03-2016,69.28,-30.65,,0.62,9173.75,31-03-2017,58.54,-9.27,,0.29,10113.7,28-03-2018,51.71,-5.74,,0.31,11623.9,29-03-2019,14.15,-336.24,,,8597.75,31-03-2020,7.32,2.97,0.25,0.01,14238.9,25-01-2021,23.42,2.97,0.81,0.02,,,,,,,,,,,,
Jain Irrigation Systems Ltd.,5682.55,28-03-2013,26725.29,1.56,39.27,1.18,6704.2,31-03-2014,29002.2,-0.32,,1.23,8491,31-03-2015,27296.19,0.94,65.27,1.16,7738.4,31-03-2016,27570.36,1.16,51.97,0.71,9173.75,31-03-2017,43186.58,2.81,33.41,1.07,10113.7,28-03-2018,52838.17,4.24,25.11,1.19,11623.9,29-03-2019,29235.96,5.81,10.13,0.63,8597.75,31-03-2020,1638.01,-10.65,,0.04,14690.7,31-03-2021,9133.14,-6.49,,0.23,17464.75,31-03-2022,24207.88,-2.86,,0.54,17359.75,31-03-2023,20709.08,0.57,59.89,0.46
Jain Studios Ltd.,5633.85,25-03-2013,139.9,-0.78,,0.46,6601.4,26-03-2014,118.67,0.23,17.71,0.32,8342.15,26-03-2015,157.27,-0.21,,0.42,7738.4,31-03-2016,111.52,-0.29,,0.32,9143.8,29-03-2017,168.71,0.27,21.91,0.5,10184.15,27-03-2018,114.38,-0.14,,0.35,11623.9,29-03-2019,81.49,-0.26,,0.25,8597.75,31-03-2020,25.74,-0.39,,0.08,14690.7,31-03-2021,57.19,,,0.18,17464.75,31-03-2022,57.19,,,0.18,16483.85,26-07-2022,68.63,,,0.22
Jainam Ferro Alloys (I) Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17498.25,30-03-2022,1585.76,16.25,9.24,3.3,17359.75,31-03-2023,1458.5,22.18,6.23,1.7
Jaiprakash Associates Ltd.,5682.55,28-03-2013,145239.02,2.94,22.25,1.1,6704.2,31-03-2014,119164.79,1.9,28.19,0.88,8491,31-03-2015,60324.93,-5.25,,0.33,7738.4,31-03-2016,18729.92,-11.72,,0.16,9173.75,31-03-2017,33446.28,-17.96,,0.45,10113.7,28-03-2018,45973.44,-8.53,,0.59,11623.9,29-03-2019,13256.89,1.39,3.93,0.13,8597.75,31-03-2020,2554.08,-3.91,,0.03,14690.7,31-03-2021,16865.24,-1.12,,0.22,17464.75,31-03-2022,20373.14,-5.24,,0.32,17359.75,31-03-2023,17059.44,-3.86,,0.33
Jaiprakash Power Ventures Ltd.,5682.55,28-03-2013,76681.88,1.45,18.05,1.11,6704.2,31-03-2014,41572.74,0.06,221.72,0.66,8491,31-03-2015,30114.53,0.45,22.76,0.47,7738.4,31-03-2016,13661.71,-0.83,,0.18,9173.75,31-03-2017,29980.02,-1.27,,0.3,10113.7,28-03-2018,28481.01,-1,,0.3,11623.9,29-03-2019,11092.61,-0.38,,0.12,8597.75,31-03-2020,4104.27,-8.53,,0.06,14690.7,31-03-2021,22273.74,0.41,7.99,0.33,17464.75,31-03-2022,46603.52,0.26,25.8,0.67,17359.75,31-03-2023,38036.7,0.2,27.97,0.55
Jakharia Fabric Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11354.25,25-03-2019,751.81,6.4,28.92,1.75,8597.75,31-03-2020,690.85,7.43,22.88,1.47,14507.3,26-03-2021,575.03,-18.09,,1.51,17325.3,29-03-2022,648.18,-38.95,,2.92,16951.7,28-03-2023,243.83,-5.32,,1.27
Jalan Transolutions (India) Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10113.7,28-03-2018,693.43,3.14,15.17,1.78,11623.9,29-03-2019,181.72,-0.61,,0.47,8597.75,31-03-2020,68.32,-10.77,,0.41,14507.3,26-03-2021,53.79,-11.37,,0.34,17464.75,31-03-2022,215.15,-18.69,,,17359.75,31-03-2023,102.49,0.13,53.94,
Jammu & Kashmir Bank Ltd.,5682.55,28-03-2013,57771,208.99,5.7,1.18,6704.2,31-03-2014,74558.86,243.92,6.31,1.3,8491,31-03-2015,46078.15,9.77,9.73,0.75,7738.4,31-03-2016,29329.07,8.58,7.05,0.46,9173.75,31-03-2017,39099.98,-31.31,,0.78,10113.7,28-03-2018,33606.4,-5.5,,0.61,11623.9,29-03-2019,29903.3,1.33,40.42,0.52,8597.75,31-03-2020,8882.46,-16.67,,0.16,14690.7,31-03-2021,18300.02,6.02,4.26,0.31,17464.75,31-03-2022,30132.24,5.15,6.27,0.43,17359.75,31-03-2023,50594.09,11.17,4.39,0.58
Jamna Auto Inds. Ltd.,5682.55,28-03-2013,3121.52,8.26,9.57,1.76,6704.2,31-03-2014,2878.79,4.61,15.82,1.58,8491,31-03-2015,9594.63,7.44,32.52,4.82,7738.4,31-03-2016,11063.33,9.2,15.13,4.51,9173.75,31-03-2017,16944.54,12.94,16.44,5.05,10113.7,28-03-2018,31279.41,2.82,27.82,7.77,11623.9,29-03-2019,25023.53,3.79,16.58,5.08,8597.75,31-03-2020,9483.44,0.9,26.5,1.82,14690.7,31-03-2021,27035.77,1.81,37.57,4.59,17464.75,31-03-2022,39662.98,3.27,30.44,5.81,17359.75,31-03-2023,39743.6,3.78,26.34,5.15
Jash Engineering Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10113.7,28-03-2018,1720.45,5.34,27.22,1.54,11623.9,29-03-2019,1167.68,8.36,11.81,0.94,8597.75,31-03-2020,1157.03,18.34,5.33,0.78,14690.7,31-03-2021,3573.22,23.27,12.93,2.03,17464.75,31-03-2022,6094.26,19.78,25.8,3.06,17359.75,31-03-2023,10099.75,33.92,24.75,4.28
Jay Bharat Maruti Ltd.,5682.55,28-03-2013,983.99,10.38,4.38,0.64,6704.2,31-03-2014,1361.78,13.64,4.61,0.79,8491,31-03-2015,2929.25,15.97,8.47,1.41,7738.4,31-03-2016,2713.83,17.64,7.11,1.07,9173.75,31-03-2017,9152.54,24.52,17.24,3.01,10113.7,28-03-2018,8111.17,28.09,13.34,2.35,11623.9,29-03-2019,5612.76,26.28,9.87,1.42,8597.75,31-03-2020,2171.49,12.53,8,0.51,14690.7,31-03-2021,4929.7,12.35,18.44,1.1,17464.75,31-03-2022,6139.94,6.2,22.86,1.3,17359.75,31-03-2023,5756.73,8.67,15.34,1.14
Jay Jalaram Technologies Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17359.75,31-03-2023,2035.68,2.25,81.43,8.47
Jay Shree Tea & Inds. Ltd.,5682.55,28-03-2013,2460.36,13.77,6.19,0.56,6704.2,31-03-2014,2435.82,-8.98,,0.62,8491,31-03-2015,2070.52,-7.15,,0.56,7738.4,31-03-2016,2357.85,-8.89,,0.68,9173.75,31-03-2017,3166.42,-3.78,,1.17,10113.7,28-03-2018,2486.35,0.41,212.51,0.79,11623.9,29-03-2019,1877.04,-2.34,,0.61,8597.75,31-03-2020,889.43,-10.09,,0.37,14690.7,31-03-2021,1913.13,0.86,77.14,0.87,17464.75,31-03-2022,2662.5,-6.45,,1.14,17359.75,31-03-2023,2271.21,-10.64,,0.91
Jayant Agro-Organics Ltd.,5682.55,28-03-2013,1333.5,14.36,6.19,0.96,6704.2,31-03-2014,1392.75,24.66,3.77,0.76,8491,31-03-2015,1488,7.23,13.73,0.8,7738.4,31-03-2016,1721.25,13.07,8.78,0.84,9173.75,31-03-2017,11690.25,30.57,25.49,4.91,10113.7,28-03-2018,8907,15.76,18.84,3.3,11623.9,29-03-2019,5401.5,14.21,12.67,1.8,8597.75,31-03-2020,1729.5,-8.64,,0.63,14690.7,31-03-2021,4090.5,11.18,12.19,1.31,17464.75,31-03-2022,7455,25.5,9.75,1.93,17359.75,31-03-2023,4402.5,13.97,10.5,1.05
Jayaswal Neco Inds. Ltd.,5682.55,28-03-2013,4598.95,0.64,14.56,0.26,6704.2,31-03-2014,5088.38,1.1,7.73,0.24,8491,31-03-2015,5109.06,1.42,5.63,0.23,7738.4,31-03-2016,4406.57,-1.2,,0.21,9173.75,31-03-2017,5236.79,-5.76,,0.32,10113.7,28-03-2018,4757.82,-6.71,,0.37,11623.9,29-03-2019,3640.21,-7.33,,0.44,8597.75,31-03-2020,1245.33,-14.74,,,14690.7,31-03-2021,6769.51,-8.9,,,17464.75,31-03-2022,21798.91,5.12,4.39,1.19,17359.75,31-03-2023,20536.61,2.86,7.39,1
Jaypee Infratech Ltd.,5682.55,28-03-2013,55140.66,6.36,6.24,0.87,6704.2,31-03-2014,29445.39,2.15,9.84,0.49,8491,31-03-2015,23195.19,2.56,6.53,0.37,7738.4,31-03-2016,11528.15,-1.6,,0.19,9173.75,31-03-2017,14653.25,-6.31,,0.29,10113.7,28-03-2018,11667.04,-14.44,,0.31,11623.9,29-03-2019,3402.89,-10.41,,0.15,8597.75,31-03-2020,902.81,-14.71,,,14690.7,31-03-2021,2222.29,-13.23,,,17464.75,31-03-2022,3819.57,-16.65,,,17711.45,06-03-2023,1736.17,-17.68,,
Jeena Sikho Lifecare Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17359.75,31-03-2023,4001.1,24.43,11.86,5.41
Jenson & Nicholson (India) Ltd.,5682.55,28-03-2013,104.79,-1.1,,,6695.9,28-03-2014,76.72,-1.41,,,8491,31-03-2015,230.17,-1.68,,,7738.4,31-03-2016,263.85,-2.76,,,9173.75,31-03-2017,507.12,0.85,15.95,,10195.15,16-03-2018,119.76,-0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jet Airways (India) Ltd.,5682.55,28-03-2013,44712.38,-46.82,,,6704.2,31-03-2014,28200.55,-337.87,,,8491,31-03-2015,55509.36,-222.21,,,7738.4,31-03-2016,62171.85,66.32,8.25,,9173.75,31-03-2017,59740.86,30.53,17.22,,10113.7,28-03-2018,69152.41,23.46,25.95,,11623.9,29-03-2019,30534.98,-410.05,,,8597.75,31-03-2020,1550.6,-318.27,,,14690.7,31-03-2021,10842.87,-19.39,,,17464.75,31-03-2022,9036.67,-46.44,,,17359.75,31-03-2023,6543.21,-88.21,,
Jet Freight Logistics Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,9143.8,29-03-2017,351.01,4.92,13.1,2.88,10113.7,28-03-2018,479.41,8.91,9.27,2.54,11483.25,26-03-2019,296.4,3.57,7.16,1.3,8468.8,18-03-2020,152.55,3.82,3.44,0.56,14549.4,24-03-2021,193.16,-3.76,,1.08,17464.75,31-03-2022,781.32,1.75,38.49,3.2,17359.75,31-03-2023,547.56,0.03,456.3,0.88
Jet Knitwears Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,9100.8,28-03-2017,278.07,1.54,44.14,2.41,10113.7,28-03-2018,446.23,2.36,42.91,3.45,11623.9,29-03-2019,189.51,3.2,13.44,1.2,12113.45,14-02-2020,109.08,3.43,7.22,0.63,14507.3,26-03-2021,83.74,2.56,7.41,0.45,16594.9,10-03-2022,432.35,3.97,24.71,2.13,16951.7,28-03-2023,283.38,2.38,26.99,1.33
Jeypore Sugar Co. Ltd.,5682.55,28-03-2013,337.37,12.92,5.76,0.48,6493.1,13-03-2014,367.07,-53.06,,0.77,8952.35,29-01-2015,400.63,-83.82,,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jindal Drilling & Inds. Ltd.,5682.55,28-03-2013,5019.37,19.63,9.96,0.81,6704.2,31-03-2014,5433.96,16.93,11.07,0.72,8491,31-03-2015,4886.21,13.93,12.1,0.6,7738.4,31-03-2016,3432.81,11.12,10.65,0.41,9173.75,31-03-2017,4812.31,5.72,29.04,0.56,10113.7,28-03-2018,4287.75,-0.88,,0.5,11623.9,29-03-2019,2848.84,17.21,5.71,0.33,8597.75,31-03-2020,1327.33,8.72,5.25,0.15,14690.7,31-03-2021,2602.5,3.13,28.69,0.29,17464.75,31-03-2022,6920.69,22.26,10.73,0.72,17359.75,31-03-2023,6952.57,38.7,6.2,0.65
Jindal Photo Ltd.,5682.55,28-03-2013,1046.86,1.08,94.31,0.41,6704.2,31-03-2014,1231.51,-22.15,,0.49,8491,31-03-2015,1281.78,-0.03,,0.69,7738.4,31-03-2016,1650.56,-1.06,,0.89,9173.75,31-03-2017,965.82,-0.01,,0.52,10113.7,28-03-2018,545.74,-2.93,,0.29,11623.9,29-03-2019,209.78,-169.26,,1.78,8597.75,31-03-2020,82.58,-3.29,,0.36,14690.7,31-03-2021,841.18,-4.39,,3.52,17464.75,31-03-2022,2691.78,-4.07,,15.97,17359.75,31-03-2023,2800.52,152.41,1.79,1.61
Jindal Poly Films Ltd.,5682.55,28-03-2013,6155.79,13.68,10.7,0.36,6704.2,31-03-2014,5792.07,25.46,5.41,0.46,8491,31-03-2015,7913.38,42.34,4.44,0.51,7738.4,31-03-2016,17792.49,46.39,9.12,1.03,9173.75,31-03-2017,17341.61,21.04,18.83,0.96,10113.7,28-03-2018,13698.58,24.13,12.97,0.72,11623.9,29-03-2019,11638.43,25.66,10.36,0.61,8597.75,31-03-2020,8814.2,109.45,1.84,0.49,14690.7,31-03-2021,32428.22,173.77,4.26,1.25,17464.75,31-03-2022,48675.17,268.91,4.13,1.29,17359.75,31-03-2023,21930.42,145.37,3.45,0.4
Jindal Poly Invst. & Finance Co. Ltd.,,,,,,,6704.2,31-03-2014,933.98,7.37,12.05,0.14,8491,31-03-2015,904.55,-0.17,,0.14,7738.4,31-03-2016,830.44,-0.57,,0.13,9173.75,31-03-2017,989.7,-0.32,,0.15,10113.7,28-03-2018,611.27,-0.59,,0.09,11623.9,29-03-2019,357.41,-3.15,,0.07,8597.75,31-03-2020,75.16,-73.3,,0.33,14845.1,30-03-2021,338.48,-69.92,,1.38,17464.75,31-03-2022,3024.81,-0.58,,2.55,17359.75,31-03-2023,4650.48,107.33,4.12,0.99
Jindal Saw Ltd.,5682.55,28-03-2013,22677.95,11.85,6.93,0.61,6704.2,31-03-2014,15620.44,5.24,10.79,0.4,8491,31-03-2015,19069.6,9.78,6.72,0.35,7738.4,31-03-2016,11785.34,8.39,4.61,0.23,9173.75,31-03-2017,26667.49,12.15,6.87,0.48,10113.7,28-03-2018,37970.8,11.9,9.98,0.66,11623.9,29-03-2019,27626.76,16.57,5.21,0.44,8597.75,31-03-2020,14644.74,23.03,1.99,0.21,14690.7,31-03-2021,23709.77,9.99,7.42,0.33,17464.75,31-03-2022,28809.85,13.4,6.72,0.38,17359.75,31-03-2023,46652.13,22.12,6.6,0.57
Jindal Stainless (Hisar) Ltd. [Merged],,,,,,,,,,,,,,,,,,,7738.4,31-03-2016,6114.86,3,8.81,0.98,9173.75,31-03-2017,33526.32,8.84,16.08,3.89,10113.7,28-03-2018,37277.68,15.05,10.5,3.21,11623.9,29-03-2019,22118.88,12.36,7.59,1.52,8597.75,31-03-2020,9354.81,13.56,2.92,0.51,14690.7,31-03-2021,29503.63,20.11,6.22,1.27,17464.75,31-03-2022,91861.17,54.02,7.21,2.56,17754.4,08-03-2023,132784.04,40.48,13.9,3.17
Jindal Stainless Ltd.,5682.55,28-03-2013,9031.01,-43.83,,0.58,6704.2,31-03-2014,7731.96,-65.08,,4.06,8491,31-03-2015,7866.53,-42.76,,,7738.4,31-03-2016,3872.36,-24.28,,0.3,9173.75,31-03-2017,28442.25,0.8,89.08,1.66,10113.7,28-03-2018,37642.86,6.86,11.45,1.69,11623.9,29-03-2019,19456.4,6.36,6.39,0.79,8597.75,31-03-2020,11742.35,1.64,14.72,0.44,14690.7,31-03-2021,32937.06,8.54,7.92,1.06,17464.75,31-03-2022,106439.11,52.66,3.85,1.63,17359.75,31-03-2023,238631.34,24.28,11.93,2.08
Jindal Steel & Power Ltd.,5682.55,28-03-2013,325088.46,24.59,14.14,2.72,6704.2,31-03-2014,267558.41,14.24,20.53,2.05,8491,31-03-2015,143456.92,4.72,33.22,1.15,7738.4,31-03-2016,55122.95,-16.14,,0.24,9173.75,31-03-2017,110717.93,-10.81,,0.51,10113.7,28-03-2018,212077.05,-4.91,,0.94,11623.9,29-03-2019,173939.96,9.1,19.75,0.73,8597.75,31-03-2020,83845.31,5.53,14.87,0.35,14690.7,31-03-2021,350477.49,69.21,4.96,1.07,17464.75,31-03-2022,543553.94,83.91,6.35,1.35,17359.75,31-03-2023,557172.12,54.08,10.1,1.37
Jindal Worldwide Ltd.,5682.55,28-03-2013,2044.31,4.17,24.45,1.84,6704.2,31-03-2014,1910.96,12.07,7.89,1.37,8491,31-03-2015,1609.18,11.95,6.72,0.93,7738.4,31-03-2016,2957.68,20.86,7.07,1.39,9173.75,31-03-2017,5202.5,20.61,12.59,1.92,10113.7,28-03-2018,25129.22,13.14,47.67,7.73,11623.9,29-03-2019,14236.95,1.29,55.22,4.18,8597.75,31-03-2020,6216.13,1.6,19.43,1.65,14690.7,31-03-2021,9635.01,3.39,14.19,2.3,17464.75,31-03-2022,56266.02,5.42,51.81,10.53,17359.75,31-03-2023,64316.92,5.68,56.46,9.94
Jiya Eco-Products Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8597.75,31-03-2020,216.53,-0.27,,0.32,14690.7,31-03-2021,142.85,-5.05,,,16793.9,28-02-2022,105.26,,,,,,,,,
Jocil Ltd.,5682.55,28-03-2013,781.54,19.47,4.52,0.55,6704.2,31-03-2014,799.75,12.41,7.26,0.56,8491,31-03-2015,922.75,14.46,7.19,0.62,7738.4,31-03-2016,1457.4,20.27,8.1,0.92,9173.75,31-03-2017,1448.96,7.94,20.55,0.86,10113.7,28-03-2018,1348.16,-0.9,,0.81,11623.9,29-03-2019,984.92,9.51,11.66,0.57,8597.75,31-03-2020,821.51,13.73,6.74,0.46,14690.7,31-03-2021,1276.67,15.29,9.4,0.65,17464.75,31-03-2022,1715.84,8.03,24.07,0.84,17359.75,31-03-2023,1345.49,11.09,13.66,0.64
Johnson Controls-Hitachi Air Conditioning India Ltd.,5682.55,28-03-2013,3514.42,3.64,35.46,1.5,6704.2,31-03-2014,4732.57,0.77,225.36,1.97,8491,31-03-2015,39508.35,27.96,51.97,12.63,7738.4,31-03-2016,33013.81,18.51,65.59,9.22,9173.75,31-03-2017,49250.85,30.58,59.23,11.19,10113.7,28-03-2018,68255.92,36.02,69.69,13.65,11623.9,29-03-2019,56064.88,29.54,69.79,9.75,8597.75,31-03-2020,58192.57,30.49,70.19,8.45,14690.7,31-03-2021,72126.54,8.73,303.82,9.99,17464.75,31-03-2022,48148.26,5.45,324.89,6.51,17359.75,31-03-2023,27640.89,-24.74,,4.19
Jubilant Foodworks Ltd.,5682.55,28-03-2013,81405.12,20.69,60.28,20.24,6704.2,31-03-2014,69630.4,19.33,55.05,12.36,8491,31-03-2015,96935.1,18.92,78.13,14.44,7738.4,31-03-2016,84010.48,16.35,78.09,10.53,9173.75,31-03-2017,73028.7,12.56,88.14,8.57,10113.7,28-03-2018,153470.1,24.38,95.42,15.49,11623.9,29-03-2019,190563.29,23.74,60.83,15.13,8597.75,31-03-2020,194185.84,24.22,60.75,16.42,14690.7,31-03-2021,384155.28,16.61,175.25,25.66,17464.75,31-03-2022,347936.37,34,77.54,16.88,17359.75,31-03-2023,290397.87,6.07,72.55,13.54
Jubilant Industries Ltd.,5682.55,28-03-2013,1216.93,9.25,11.1,0.46,6704.2,31-03-2014,596.62,-0.71,,0.23,8491,31-03-2015,963.95,-1.05,,0.37,7738.4,31-03-2016,1841.23,-0.89,,0.71,9173.75,31-03-2017,3725.25,30.47,10.26,1.44,10113.7,28-03-2018,2018.74,28.01,6.04,0.78,11623.9,29-03-2019,1732.86,-0.79,,0.62,8597.75,31-03-2020,1291.17,0,,0.44,14690.7,31-03-2021,2813.82,0,,0.95,17464.75,31-03-2022,7021.78,0,,2.38,17359.75,31-03-2023,5846.79,6.21,62.53,1.92
Jubilant Ingrevia Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14690.7,31-03-2021,41365.31,2.42,107.19,2.62,17464.75,31-03-2022,71652.62,28.91,15.56,3.61,17359.75,31-03-2023,57333.25,16,22.5,2.66
