acer Predator Helios 300 Core i9 11th Gen - (16 GB/1 TB...,"15.6 Inch, Abyssal Black, 2.3 Kg",4.8,(4),"₹1,24,990","₹1,61,999",22% off
ASUS TUF Gaming F15 Core i5 10th Gen - (8 GB/512 GB SSD...,"15.6 Inch, Black Plastic, 2.3 KG, With MS Office",4.4,"(4,121)","₹62,990","₹89,990",30% off
ASUS ROG Strix G15 (2022) Ryzen 7 Octa Core 6800H - (16...,"15.6 inch, Eclipse Gray, 2.30 kg, With MS Office",5,(3),"₹1,35,990","₹1,76,990",23% off
ASUS Ryzen 9 Octa Core 5900HX - (16 GB/1 TB SSD/Windows...,"14 inch, Black, 1.45 kg, With MS Office",,,"₹99,990","₹1,49,990",33% off
ASUS TUF Gaming F15 (2022) Core i7 12th Gen - (16 GB/1 ...,"15.6 inch, Mecha Gray, 2.20 kg, With MS Office",,,"₹1,34,990","₹1,69,990",20% off
MSI Core i7 11th Gen - (8 GB/512 GB SSD/Windows 10 Home...,"15.6 Inch, Black, 1.86 Kg",,,"₹73,990","₹95,990",22% off
DELL G15 Core i7 12th Gen - (16 GB/512 GB SSD/Windows 1...,"15.6 Inch, Dark Shadow Grey, 2.57 kg, With MS Office",4.7,(3),"₹1,27,990","₹1,64,987",22% off
HP Pavilion Gaming Ryzen 5 Hexa Core 5600H - (8 GB/512 ...,"15.6 inch, Shadow Black & Ultra Violet, 1.98 kg",4.2,(37),"₹57,700","₹71,343",19% off
DELL G15 Core i5 12th Gen - (16 GB/512 GB SSD/Windows 1...,"15.6 Inch, Dark Shadow Grey, 2.57 kg, With MS Office",4.6,(5),"₹98,000","₹1,12,800",13% off
MSI Katana GF66 Core i5 12th Gen - (16 GB/512 GB SSD/Wi...,"15.6 Inch, Black, 2.25 Kg",,,"₹85,990","₹1,11,990",23% off
ASUS Core i5 11th Gen - (8 GB/1 TB SSD/Windows 11 Home/...,"15.6 inch, Graphite Black",,,"₹76,990","₹97,990",21% off
ASUS TUF Gaming A17 Ryzen 7 Octa Core 4800H - (16 GB/51...,"17.3 Inch, Eclipse Gray, 2.60 Kg",4.5,(13),"₹82,990","₹1,06,990",22% off
