,name,Year,Total income,Total expenses,Total assets,"Current assets (incl. short term investments, loans & advances)",Current liabilities & provisions,Long term borrowings excl current portion,Sales,Year.1,Total income.1,Total expenses.1,Total assets.1,"Current assets (incl. short term investments, loans & advances).1",Current liabilities & provisions.1,Long term borrowings excl current portion.1,Sales.1,Year.2,Total income.2,Total expenses.2,Total assets.2,"Current assets (incl. short term investments, loans & advances).2",Current liabilities & provisions.2,Long term borrowings excl current portion.2,Sales.2,Year.3,Total income.3,Total expenses.3,Total assets.3,"Current assets (incl. short term investments, loans & advances).3",Current liabilities & provisions.3,Long term borrowings excl current portion.3,Sales.3,Year.4,Total income.4,Total expenses.4,Total assets.4,"Current assets (incl. short term investments, loans & advances).4",Current liabilities & provisions.4,Long term borrowings excl current portion.4,Sales.4,Year.5,Total income.5,Total expenses.5,Total assets.5,"Current assets (incl. short term investments, loans & advances).5",Current liabilities & provisions.5,Long term borrowings excl current portion.5,Sales.5,Year.6,Total income.6,Total expenses.6,Total assets.6,"Current assets (incl. short term investments, loans & advances).6",Current liabilities & provisions.6,Long term borrowings excl current portion.6,Sales.6,Year.7,Total income.7,Total expenses.7,Total assets.7,"Current assets (incl. short term investments, loans & advances).7",Current liabilities & provisions.7,Long term borrowings excl current portion.7,Sales.7,Year.8,Total income.8,Total expenses.8,Total assets.8,"Current assets (incl. short term investments, loans & advances).8",Current liabilities & provisions.8,Long term borrowings excl current portion.8,Sales.8,Year.9,Total income.9,Total expenses.9,Total assets.9,"Current assets (incl. short term investments, loans & advances).9",Current liabilities & provisions.9,Long term borrowings excl current portion.9,Sales.9,Year.10,Total income.10,Total expenses.10,Total assets.10,"Current assets (incl. short term investments, loans & advances).10",Current liabilities & provisions.10,Long term borrowings excl current portion.10,Sales.10
707,Urja Global Ltd.,2013-03-31 00:00:00,1124.6,1123.5,1219.9,70.1,27.8,0.0,1124.4,2014-03-31 00:00:00,1143.9,1135.4,1231.6,85.8,31.1,0.0,1143.6,2015-03-31 00:00:00,1167.7,1160.8,1385.4,119.6,183.0,0.0,1166.3,2016-03-31 00:00:00,1208.4,1198.1,1286.1,186.5,73.3,0.0,1202.3,2017-03-31 00:00:00,1181.4,1170.5,1580.1,585.4,357.0,0.0,1170.6,2018-03-31 00:00:00,1279.7,1269.4,2526.2,1531.6,1291.6,0.0,1263.0,2019-03-31 00:00:00,1321.5,1319.9,3105.5,2107.6,1857.8,0.0,1299.8,2020-03-31,1463.6,1507.3,4310.2,3312.6,3046.4,0.0,1445.6,2021-03-31,1312.8,1258.5,4812.8,3810.0,3469.4,0.0,1284.4,2022-03-31,637.6,646.5,5169.7,886.8,451.6,0.0,623.9,2023-03-31 00:00:00,403.8,446.1,2390.8,482.1,302.3,0.0,391.8
708,Usha Martin Ltd.,2013-03-31 00:00:00,33910.7,34713.2,73894.3,23524.8,26714.9,22957.0,33494.8,2014-03-31 00:00:00,36627.6,37757.9,81284.7,21345.5,32944.3,25469.4,35905.4,2015-03-31 00:00:00,41522.7,45107.3,78825.7,22852.8,33834.6,26002.7,41165.0,2016-03-31 00:00:00,38502.6,40819.4,75492.6,17459.1,31434.0,28160.1,38209.6,2017-03-31 00:00:00,36917.2,40441.5,75263.5,18946.8,35110.9,27280.1,36100.4,2018-03-31 00:00:00,49745.2,52243.6,72453.7,17729.1,35391.1,26557.9,14330.0,2019-03-31 00:00:00,57469.3,57553.6,68270.0,49691.9,34974.1,22697.3,17086.1,2020-03-31,20667.6,15952.4,15270.2,7124.1,5622.2,2509.9,13933.6,2021-03-31,14055.9,12812.6,15748.7,7658.3,5304.7,1894.6,13604.3,2022-03-31,18786.9,16794.0,16071.0,8575.8,4220.8,1226.6,18217.3,2023-03-31 00:00:00,20724.8,18633.6,17019.0,8180.2,3780.1,1335.5,20458.9
709,Uttam Sugar Mills Ltd.,2013-03-31 00:00:00,6658.3,8670.7,13315.1,7181.8,8929.1,2187.0,6640.2,2014-06-30 00:00:00,9027.2,8696.9,12150.5,5971.4,8658.1,1828.5,8998.7,2015-06-30 00:00:00,7879.8,8220.9,13062.7,5975.1,10066.3,1341.4,7852.1,2016-03-31 00:00:00,8530.1,7459.0,11934.3,4894.6,6021.0,4086.8,8478.3,2017-03-31 00:00:00,11438.8,12530.6,14142.3,7167.2,7753.7,3423.1,11406.8,2018-03-31 00:00:00,12764.9,13689.3,15472.9,8093.6,9544.4,2582.6,12647.6,2019-03-31 00:00:00,12368.6,14448.6,18501.7,10892.9,11559.6,2772.3,12284.0,2020-03-31,16552.5,15452.3,18800.0,11077.1,11653.7,2319.3,15249.7,2021-03-31,18421.9,17809.9,18229.1,10907.0,11529.8,1776.0,17511.4,2022-03-31,20500.1,17795.7,15781.9,8873.5,8931.8,870.2,20343.4,2023-03-31 00:00:00,20676.7,19969.8,16680.8,9639.0,9322.9,251.1,20588.7
710,V S T Industries Ltd.,2013-03-31 00:00:00,16523.6,15326.1,7580.6,5457.4,4392.3,0.0,16260.7,2014-03-31 00:00:00,16636.9,15191.1,7709.7,5307.0,4236.0,0.0,16312.1,2015-03-31 00:00:00,17412.0,16766.4,8396.6,6109.1,4731.9,0.0,17230.7,2016-03-31 00:00:00,20832.2,19295.6,8383.4,5842.2,4473.7,0.0,20630.0,2017-03-31 00:00:00,22813.7,21057.4,8132.2,5478.8,2477.6,0.0,22612.9,2018-03-31 00:00:00,13857.2,11130.4,10787.2,8048.5,4679.0,0.0,13586.4,2019-03-31 00:00:00,12231.7,10070.6,12199.0,9566.6,5223.9,0.0,11841.0,2020-03-31,14177.8,11297.1,14066.4,11637.5,5900.9,0.0,13704.2,2021-03-31,15229.0,12124.7,14953.9,12507.4,5232.7,0.0,14805.0,2022-03-31,16212.4,13070.6,16042.7,11420.3,4933.7,0.0,15732.6,2023-03-31 00:00:00,17531.7,14112.2,16695.6,8319.8,4524.4,0.0,16767.7
711,V-Guard Industries Ltd.,2013-03-31 00:00:00,13897.2,14112.9,6594.2,4919.4,3423.9,320.5,13837.3,2014-03-31 00:00:00,15427.7,14818.2,6876.3,5022.0,3098.0,310.1,15379.3,2015-03-31 00:00:00,17644.3,17071.0,7365.4,5500.8,3062.1,212.0,17599.5,2016-03-31 00:00:00,18843.5,17096.2,7352.9,5478.8,2276.9,56.0,18776.0,2017-03-31 00:00:00,21276.5,20356.3,9666.2,7433.9,3084.3,24.0,21148.3,2018-03-31 00:00:00,23323.8,22277.0,11931.1,9332.1,4136.4,0.0,23216.8,2019-03-31 00:00:00,25846.8,24633.5,13988.7,11066.3,4673.4,0.0,25664.5,2020-03-31,25093.5,24370.9,14927.7,10881.1,4343.0,332.2,24820.8,2021-03-31,28784.8,27486.3,19238.2,14343.3,6268.4,498.9,28573.9,2022-03-31,36641.6,35770.5,21519.1,15461.6,6557.5,484.3,36452.0,2023-03-31 00:00:00,43277.1,40592.8,27801.0,13651.8,7816.7,3383.4,43022.9
712,Vadilal Industries Ltd.,2013-03-31 00:00:00,3358.0,3387.7,3550.9,1109.3,1499.5,756.2,3285.4,2014-03-31 00:00:00,3734.0,3791.2,3792.4,1270.6,1655.5,820.0,3716.5,2015-03-31 00:00:00,4160.2,4041.6,3718.7,1263.4,1767.4,612.5,4128.3,2016-03-31 00:00:00,4564.4,4434.8,3674.6,1254.5,1718.4,455.6,4553.1,2017-03-31 00:00:00,4834.7,4700.1,4189.3,1464.9,1910.2,343.9,4803.2,2018-03-31 00:00:00,5288.5,4998.3,4411.3,1572.2,1620.2,709.9,5242.0,2019-03-31 00:00:00,5173.6,4957.1,4725.5,1713.7,1743.7,574.3,5098.4,2020-03-31,5260.2,4958.8,5478.2,2132.4,2274.4,553.0,5208.4,2021-03-31,3700.6,3886.4,5167.0,1878.6,2147.7,612.5,3636.5,2022-03-31,5526.4,5514.0,5226.3,2061.5,1905.2,805.6,5471.9,2023-03-31 00:00:00,9102.5,8449.2,6351.5,2924.2,2554.1,579.5,9046.9
713,Vaibhav Global Ltd.,2013-03-31 00:00:00,4471.5,4225.4,6005.7,2067.8,1178.0,477.0,2491.2,2014-03-31 00:00:00,4335.8,3809.9,5763.4,2312.2,1225.1,180.1,3482.8,2015-03-31 00:00:00,4158.2,3905.6,5565.9,2217.8,1001.0,0.0,4037.8,2016-03-31 00:00:00,3680.0,3552.2,6445.4,2723.4,1546.3,0.0,3614.1,2017-03-31 00:00:00,4862.7,4527.3,6310.6,2880.2,1207.9,0.0,4783.0,2018-03-31 00:00:00,4746.0,4440.4,6462.6,3020.7,988.5,0.0,4583.3,2019-03-31 00:00:00,4893.2,4549.5,7261.2,3774.7,1591.6,0.0,4804.0,2020-03-31,5428.6,4261.6,6520.7,2872.8,1079.1,0.0,4306.9,2021-03-31,4617.4,4193.9,6437.7,2767.8,1074.0,0.0,4192.3,2022-03-31,5924.1,4606.0,7576.0,3542.5,1656.0,6.5,4960.5,2023-03-31 00:00:00,5365.3,4338.4,8048.4,3938.5,1829.4,10.1,4441.1
714,Vaishali Pharma Ltd.,2013-03-31 00:00:00,1190.7,1180.2,488.4,478.5,433.7,26.6,0.0,2014-03-31 00:00:00,1215.9,1239.5,536.2,519.3,475.9,27.7,1206.4,2015-03-31 00:00:00,988.6,937.6,459.7,438.1,343.2,82.4,945.7,2016-03-31 00:00:00,698.8,699.0,497.9,475.5,418.9,44.7,667.2,2017-03-31 00:00:00,649.1,619.9,448.5,398.8,373.1,33.8,638.0,2018-03-31 00:00:00,694.3,693.5,642.0,590.4,407.9,26.4,677.6,2019-03-31 00:00:00,770.7,754.7,687.6,629.7,424.9,47.8,750.8,2020-03-31,622.5,621.2,661.9,612.0,404.0,42.7,600.8,2021-03-31,555.9,542.5,861.3,812.9,592.6,42.6,537.8,2022-03-31,776.1,736.3,816.4,764.3,519.4,31.5,758.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
715,Vardhman Acrylics Ltd.,2013-03-31 00:00:00,4870.9,4653.5,3833.0,2900.1,1039.3,0.0,4736.9,2014-03-31 00:00:00,5383.1,4927.9,4611.4,3056.6,1432.7,0.0,5095.8,2015-03-31 00:00:00,5653.0,5312.9,5183.4,3363.3,1806.9,0.0,5408.1,2016-03-31 00:00:00,4696.3,4271.6,4975.9,3172.2,1524.2,0.0,4466.7,2017-03-31 00:00:00,3929.6,3585.0,5262.2,4448.3,2035.6,0.0,3684.3,2018-03-31 00:00:00,3474.8,3068.2,5325.4,3470.2,1925.5,0.0,3269.2,2019-03-31 00:00:00,4181.0,3787.2,5857.3,4634.1,2315.1,0.0,3933.4,2020-03-31,3723.4,3275.5,5943.5,4465.7,2273.2,0.0,3389.9,2021-03-31,2957.0,2527.1,6396.5,5265.5,2299.7,0.0,2802.0,2022-03-31,3177.2,3106.2,4648.1,3511.1,2439.3,0.0,3033.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
716,Vardhman Holdings Ltd.,2013-03-31 00:00:00,138.9,24.5,2057.1,1031.2,14.4,0.0,10.4,2014-03-31 00:00:00,199.2,24.7,2107.8,1244.2,14.6,0.0,11.9,2015-03-31 00:00:00,325.1,22.1,2422.2,1541.3,18.7,0.0,12.7,2016-03-31 00:00:00,530.9,49.2,2918.2,2032.5,135.1,0.0,12.5,2017-03-31 00:00:00,1905.1,88.7,5133.4,4270.7,553.1,0.0,12.6,2018-03-31 00:00:00,645.4,198.1,6539.1,0.0,535.4,0.0,13.0,2019-03-31 00:00:00,383.3,80.8,6651.2,0.0,627.8,0.0,14.0,2020-03-31,489.2,156.2,6665.0,0.0,621.0,0.0,13.8,2021-03-31,210.3,59.8,7325.3,0.0,622.2,0.0,12.5,2022-03-31,1168.4,334.8,8910.5,0.0,874.2,0.0,18.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
717,Vardhman Special Steels Ltd.,2013-03-31 00:00:00,5003.4,5209.7,5838.6,3607.2,2907.0,926.5,4947.5,2014-03-31 00:00:00,6177.7,5570.0,5644.5,3003.0,2781.9,998.3,6020.2,2015-03-31 00:00:00,7415.8,7582.8,6152.6,3504.8,3403.6,1044.0,7341.8,2016-03-31 00:00:00,7319.7,7006.4,6148.5,3482.5,3058.8,1290.2,7293.3,2017-03-31 00:00:00,7622.3,7585.2,6369.3,3361.0,2991.4,1154.6,7565.2,2018-03-31 00:00:00,8840.0,8712.5,7351.0,4199.9,2669.1,1014.5,8778.9,2019-03-31 00:00:00,11234.0,12636.2,9399.6,5493.1,3943.1,1351.4,11207.6,2020-03-31,8555.9,7078.6,8253.9,3671.0,2519.0,1093.3,8462.0,2021-03-31,9500.4,9181.0,8677.4,5035.0,2517.4,1105.9,9370.9,2022-03-31,13973.7,13969.4,9812.5,6235.6,2897.2,798.0,13684.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
