Bosch Ltd.,0.54,0.67,0.23,0.49,0.38,0.85,0.53,0.76,0.68,0.7,1.23
Brigade Enterprises Ltd.,1.91,2.56,1.18,1.29,1.28,0.88,0.95,0.55,0.41,0.24,0.33
Britannia Industries Ltd.,1.76,0.96,0.64,0.6,0.64,0.47,0.39,0.47,3.37,2.11,1.31
C C L Products (India) Ltd.,1.52,1.24,0.63,0.89,0.84,0.85,0.93,1.55,2.92,1.06,1.48
C E Info Systems Ltd.,,,,,,,,,,0,0.18
C E S C Ltd.,1.61,1.6,1.1,1.99,1.36,0.95,1.73,2.47,10.64,5.31,0
C G Power & Indl. Solutions Ltd.,1.31,0.69,0.63,0.23,0,0,0,0,0,0,0
C I E Automotive India Ltd.,0,0,0,0,0,0,0,0,0,0,0.63
C S B Bank Ltd.,,,,,,,,0,0,0,0
Campus Activewear Ltd.,,,,,,,,,,,0
Can Fin Homes Ltd.,1.78,2.43,1.05,0.66,0.54,0.44,0.8,0.41,0.42,0.57,0.53
Canara Bank,2.29,8.81,1.02,5.41,0,0.29,0,0,0,0,2.14
Caplin Point Laboratories Ltd.,2.14,2.17,0.67,0.41,0.29,0.25,0.55,0.77,0.54,0.38,0.58
Capri Global Capital Ltd.,0.62,1.36,0.75,0.85,0.5,0.27,0.23,0.19,0.05,0.07,0.07
Carborundum Universal Ltd.,1.34,0.91,0.7,0.72,0.59,0.47,0.65,0.83,0.68,0.34,0.36
Castrol India Ltd.,2.47,2.38,1.11,1.9,2.35,2.96,2.99,3.88,4.29,4.41,5.09
Ceat Ltd.,0.95,1.34,1.22,1.06,0.98,0.63,1.06,1.2,0.81,1.64,0.19
Central Bank Of India Ltd.,2.38,5.46,0,0.8,0,0,0,0,0,0,0
Century Plyboards (India) Ltd.,0,1.04,0.95,1.34,0.51,0.31,0.61,0.59,0.38,0.17,0.29
Century Textiles & Inds. Ltd.,1.41,1.86,0.96,1.05,0.65,0.4,0.82,1.17,0.72,0.12,0.57
Cera Sanitaryware Ltd.,0.72,0.53,0.23,0.36,0.42,0.35,0.5,0.48,0.38,0.27,0.66
Chalet Hotels Ltd.,,,,,,,,0,0,0,0
Chambal Fertilisers & Chemicals Ltd.,2.85,4.92,3.14,3.3,2.35,1.18,1.07,1.1,2.95,1.04,2.4
Chemplast Sanmar Ltd.,0,,,,,,,,,0,0
Cholamandalam Financial Holdings Ltd.,1.53,1.17,0.54,0.48,0.87,0.09,0.28,0.23,0.13,0.08,0.09
Cholamandalam Investment & Finance Co. Ltd.,1.77,0.41,0.65,0.55,0.44,0.43,0.55,0.7,0.18,0.32,0.28
Cipla Ltd.,0.49,0.49,0.29,0.34,0.35,0.34,0.58,0.67,0.48,0.53,0.49
City Union Bank Ltd.,1.62,2.05,1.07,1.38,0.8,0.19,0.16,0.22,0.3,0.35,0.63
Clean Science & Technology Ltd.,,,,,,,,,,0,0.24
Coal India Ltd.,2.83,17.37,0,6.47,8.84,6.66,10.55,3.22,15.47,10.95,10.23
Cochin Shipyard Ltd.,,,,,,0,3.29,3.86,6.88,3.65,3.47
Coforge Ltd.,3.06,2.12,2.57,1.72,2.44,1.46,1.14,0.52,0.88,0.81,1.19
Colgate-Palmolive (India) Ltd.,2,2.08,1.33,1.28,1.13,0.98,1.88,2.03,2.12,2.74,2.68
Computer Age Mgmt. Services Ltd.,,,,,,,,,0.38,1.31,1.67
Container Corpn. Of India Ltd.,1.77,1.59,0.88,1.13,1.14,1.09,1.31,1.51,1.52,0.93,1.59
Coromandel International Ltd.,3.14,2.22,1.55,2.66,1.28,0.9,2.12,1.03,1.42,1.52,1.34
Creditaccess Grameen Ltd.,,,,,,,0,0,0,0,0
Crisil Ltd.,1.47,1.18,0.95,1.26,1.35,1.39,1.76,1.75,1.68,1.36,1.5
Crompton Greaves Consumer Electricals Ltd.,,,,,0,0.6,0.82,0.7,0.7,0.59,0.76
