Exide Industries Ltd.,44.48,7.85,216.65,53.33,29.04,51.91,25.28,8.9,87.71,72.47,36.91
Expleo Solutions Ltd.,1.72,0.09,1.11,10.93,1.04,0.4,0.67,0.84,0.6,5.93,0.18
F D C Ltd.,0.79,9.3,5.44,0.65,0.48,1.9,0.12,1.92,1.56,3.11,3.16
F S N E-Commerce Ventures Ltd.,,,,,,,,,,123.37,94.49
Federal Bank Ltd.,8.64,21.17,40.79,26.26,26.18,156.33,37.41,107.55,209.45,71.33,46.19
Federal-Mogul Goetze (India) Ltd.,1.02,0.4,6.88,0.1,0.63,0.22,0.82,0,3.99,0.49,0.15
Fiem Industries Ltd.,2.44,4.01,32.57,10.3,1.9,0.95,0.08,18.31,0.31,2.43,6.26
Filatex India Ltd.,0.03,0,0.01,0.03,3.56,2.35,7.9,0.48,6.08,11.07,0.84
Fine Organic Inds. Ltd.,,,,,,,3.79,3.8,4.28,4.56,7.04
Fineotex Chemical Ltd.,1.28,1.8,1.91,32.9,0.66,26.63,2.14,0.28,2.57,16.88,12.78
Finolex Cables Ltd.,6.39,2.86,4.95,0.57,9.02,17.41,0.83,0.55,3.9,3.06,6.52
Finolex Industries Ltd.,22.06,1.59,2.11,4.68,14.06,3.56,0.63,1.53,3.21,43.02,13.98
Firstsource Solutions Ltd.,1.13,32.28,13.38,17.51,18.29,30.36,15.76,3.76,9.6,25.25,10.69
Five-Star Business Finance Ltd.,,,,,,,,,,,8.89
Fortis Healthcare Ltd.,3.13,5.24,4.29,15.57,761.51,291.92,2.41,74.54,14.6,20.22,4.06
Foseco India Ltd.,1.61,0.05,0.92,0.17,0,0.4,0.51,0.69,0.58,0.27,0.01
G A I L (India) Ltd.,36.18,31.64,27.33,24.3,110.19,123.23,75.05,29.5,70.76,118.04,183.52
G M M Pfaudler Ltd.,0.32,6.02,2.7,0.96,9.02,1.63,1.41,5.1,13.96,25.68,7.84
G M R Airports Infrastructure Ltd.,15.26,10.39,114.37,312.2,19.69,86.39,12.34,14.73,235.54,50.02,10.29
G R Infraprojects Ltd.,,,,,,,,,,2.55,0.78
Gabriel India Ltd.,0.18,0.75,25.35,3.81,1.57,4.62,0.19,0.23,1.53,4.09,3.29
Galaxy Surfactants Ltd.,,,,,,,0.2,1.86,1.94,2.12,1.25
Gallantt Ispat Ltd.,8.13,0.03,0.55,0.28,0.31,0.65,0.02,0.01,1.2,0.45,1.19
Gandhi Special Tubes Ltd.,0.41,0.56,2.14,0,0.55,0.89,0.38,0.09,0.06,0.05,2.4
Ganesha Ecosphere Ltd.,0.06,0,1.71,0.59,0.27,14.83,0.04,0.41,0.44,25.84,2
Garden Reach Shipbuilders & Engineers Ltd.,,,,,,,0.07,2.83,3,8.91,38.38
Garware Technical Fibres Ltd.,0.83,0.03,1.3,4.19,2.74,1.86,0.52,1.05,3.13,4.07,2.15
Gateway Distriparks Ltd.,,,,,,,,,,,2.68
Gati Ltd.,0.43,39.26,96.21,25.8,8.34,34.9,2.52,1.02,2.17,27.61,7.03
General Insurance Corpn. Of India,,,,,,5.82,0.83,3.78,1.11,15.01,21.23
Genus Power Infrastructures Ltd.,0.05,0.07,2.93,13.19,1.35,3.39,0.7,0.21,0.81,2.42,4.26
Gillette India Ltd.,0.41,1.16,2.55,5.87,1.87,2.55,0.78,2.89,2.38,1.18,0.42
Gland Pharma Ltd.,,,,,,,,,22.11,39.06,21.87
Glaxosmithkline Pharmaceuticals Ltd.,2.12,2.6,11.02,1.55,3.24,0.78,1.34,8.37,2.39,15.34,3.88
Glenmark Pharmaceuticals Ltd.,53.82,56.37,18.15,81.7,14.73,35.84,9.71,26.6,63.9,22.18,6.05
Global Health Ltd.,,,,,,,,,,,3.09
Globus Spirits Ltd.,0.57,1.23,1.48,0.53,0.98,0.67,0.38,0.32,4.02,11.48,6
Godfrey Phillips India Ltd.,0.13,0.3,2.3,25.64,6.52,19.09,3.75,19.03,3.19,2.03,10.29
Godrej Agrovet Ltd.,,,,,,11.87,5.73,2.17,4.4,2.42,2.82
Godrej Consumer Products Ltd.,40.15,10.65,5.77,14.8,15.44,25.08,49.13,30.25,33.87,13.48,51.61
Godrej Industries Ltd.,28.94,10.01,13.34,9.1,2.56,16.75,7.52,1.14,8.63,3.5,1.96
