name,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Bombay Burmah Trdg. Corpn. Ltd.,2805.8,2993.7,2824.4,2761.7,3198.5,2472.4,2767.8,2835.4,3151.3,3951.9
Borosil Renewables Ltd.,1596.0,1980.7,2457.8,2606.6,3928.6,3322.9,4027.9,2747.6,5076.5,6728.9
Bosch Ltd.,97441.0,98213.0,134786.0,120366.0,125094.0,123934.0,129070.0,105733.0,103321.0,122686.0
Brigade Enterprises Ltd.,7881.2,9186.8,10080.1,16681.1,16649.4,13704.9,19309.6,19961.2,16369.3,23042.0
Britannia Industries Ltd.,57562.4,64585.1,75929.5,80811.6,88298.8,95368.1,107003.7,113578.2,126715.3,137310.5
C C L Products (India) Ltd.,5908.4,6167.0,6786.9,6805.6,7152.3,8288.4,8393.1,9629.9,8662.3,9618.9
C E S C Ltd.,56692.3,57018.6,63661.2,70129.4,77812.5,82817.5,85878.4,86513.4,76928.0,82962.2
C G Power & Indl. Solutions Ltd.,77629.2,83009.2,85318.9,69486.6,50746.6,55575.8,56614.8,32720.3,42837.0,54873.5
C I E Automotive India Ltd.,4980.8,4393.8,18470.9,13368.4,18086.0,20760.0,31724.0,29816.0,21731.0,33374.0
C S B Bank Ltd.,14160.9,16472.5,17080.6,16787.0,16591.8,14792.1,15963.7,17323.9,22731.1,23820.8
Can Fin Homes Ltd.,4009.3,5815.6,8170.4,10835.5,13537.2,15253.2,17313.6,20304.6,20184.3,19929.8
Canara Bank,376441.2,437957.8,491298.3,497669.4,493794.7,512153.1,566430.7,570300.2,845809.4,861402.6
Caplin Point Laboratories Ltd.,1248.2,1697.8,2437.7,2347.8,3540.7,4501.7,5723.0,5938.0,5056.9,5847.5
Capri Global Capital Ltd.,1369.0,1662.0,1952.2,1908.3,2382.5,3455.0,5045.0,5822.1,5767.1,7655.6
Carborundum Universal Ltd.,12074.2,12672.6,13864.5,14341.0,15541.0,16333.3,18091.3,16985.4,17490.6,22571.8
Castrol India Ltd.,38108.8,39418.2,41294.9,41025.5,42532.2,42621.0,43788.9,43570.2,34111.0,46768.0
Ceat Ltd.,53800.5,59174.8,61618.1,61648.1,64201.1,64536.9,68878.9,67812.6,76288.6,93626.7
Central Bank Of India Ltd.,236970.4,263644.6,283216.6,303276.8,289416.9,304874.5,283017.2,274353.5,263544.8,262710.5
Century Plyboards (India) Ltd.,12443.6,14147.4,17230.1,17899.7,19430.0,20118.1,22698.9,22937.6,21254.1,30236.4
Century Textiles & Inds. Ltd.,66464.0,74112.7,84207.8,88130.0,87633.3,85708.3,102258.2,35572.6,27094.4,42146.1
Cera Sanitaryware Ltd.,5204.8,7024.0,8645.8,9706.0,10701.4,14033.7,15969.3,14376.7,14358.9,17175.8
Chalet Hotels Ltd.,3911.5,5036.5,4682.0,5980.9,8989.9,9132.7,10361.1,10094.0,3167.6,5382.3
Chambal Fertilisers & Chemicals Ltd.,74592.9,82266.6,90376.0,101096.2,79051.9,76862.3,102698.8,125895.0,128013.0,161810.4
Chemplast Sanmar Ltd.,25236.0,29986.2,29912.8,28192.4,32909.8,11526.0,13025.1,12913.6,13213.2,20636.6
Cholamandalam Financial Holdings Ltd.,38555.6,38563.7,42222.1,50884.4,400.7,646.7,735.2,909.0,581.4,835.1
Cholamandalam Investment & Finance Co. Ltd.,26012.8,33795.2,38769.1,43276.1,48968.2,54865.5,69951.3,86552.2,95773.0,101403.4
Cipla Ltd.,85237.1,98363.0,103726.3,123980.2,111123.9,117797.4,129743.8,135732.6,141308.6,163734.0
City Union Bank Ltd.,24623.9,28257.8,31249.1,33651.1,36654.3,39353.5,42873.1,48802.3,48394.7,54986.6
Coal India Ltd.,115562.8,165187.9,146417.1,175900.9,156738.9,104436.3,117385.5,127225.2,84527.0,122710.9
Cochin Shipyard Ltd.,16537.6,17359.9,19605.9,21090.7,22218.0,25447.5,31992.7,37026.0,30235.4,34638.7
Coforge Ltd.,11412.0,13891.6,14011.3,15375.0,16314.0,17616.0,21534.0,25156.0,25180.0,37137.0
Colgate-Palmolive (India) Ltd.,33741.2,39060.2,42715.2,44197.1,45775.1,44003.9,45632.5,46053.3,49030.8,51625.7
Computer Age Mgmt. Services Ltd.,2958.6,3197.0,3721.4,3913.9,4730.9,6506.2,6678.5,6839.0,7341.1,9117.1
Container Corpn. Of India Ltd.,47446.6,53564.6,59447.3,63108.0,59648.0,65493.7,73198.9,68374.5,67677.1,79732.1
Coromandel International Ltd.,87327.8,95645.5,115112.3,117153.6,102386.8,111678.4,132610.4,131548.8,142306.9,192422.4
Creditaccess Grameen Ltd.,892.4,1522.2,2814.3,4667.2,7096.4,10020.7,12834.4,16843.9,20311.5,27539.7
Crisil Ltd.,7645.8,9382.9,9439.2,10090.6,11808.3,12329.7,12806.3,13546.3,10511.8,16180.3
Crompton Greaves Consumer Electricals Ltd.,0.0,0.0,0.0,18748.1,40361.6,41358.7,45556.2,46282.2,49042.6,54531.0
Cummins India Ltd.,51683.0,45028.7,49959.4,53177.5,56401.6,54456.5,60110.0,55364.0,47354.8,66393.1
Cupid Ltd.,291.5,200.2,451.4,628.1,844.5,821.3,879.5,1647.4,1497.4,1370.3
Cybertech Systems & Software Ltd.,466.7,488.2,497.7,481.9,657.5,598.6,604.1,686.3,816.8,855.5
