name,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
G M M Pfaudler Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.6,869.5,1058.5
Gabriel India Ltd.,163.8,95.7,61.5,80.7,77.2,72.0,69.8,78.2,129.2,111.1
Galaxy Surfactants Ltd.,1382.9,1322.3,799.6,1559.7,1153.3,678.7,892.3,900.8,577.9,675.7
Gallantt Ispat Ltd.,216.8,63.1,0.0,0.0,0.0,0.0,0.0,566.7,0.0,0.0
Gandhi Special Tubes Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.3,3.1
Ganesha Ecosphere Ltd.,1068.2,1251.6,869.1,717.5,366.6,831.4,598.9,521.3,321.2,262.5
Garden Reach Shipbuilders & Engineers Ltd.,220.0,240.3,215.0,83.9,79.6,0.0,0.0,33.1,20.1,97.4
Garware Technical Fibres Ltd.,244.8,117.9,40.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gati Ltd.,1600.6,1713.1,2091.8,2199.4,808.6,1035.4,750.3,464.7,129.2,11.0
Geekay Wires Ltd.,60.1,60.2,122.0,107.0,192.9,272.7,210.3,143.6,394.3,264.4
Genus Power Infrastructures Ltd.,301.8,258.8,168.5,12.5,10.5,162.7,250.7,235.9,75.6,8.9
Gillette India Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.1,0.7
Gland Pharma Ltd.,377.7,1073.0,771.6,565.4,59.2,54.9,49.6,50.0,46.9,44.8
Glaxosmithkline Pharmaceuticals Ltd.,41.4,36.1,26.3,16.0,9.9,5.8,1.8,268.6,202.5,76.2
Glenmark Pharmaceuticals Ltd.,0.0,0.0,0.0,0.0,25893.5,26860.3,28314.6,32021.8,31680.5,26135.2
Globe International Carriers Ltd.,57.5,0.0,5.6,3.3,2.2,1.1,11.2,7.9,39.7,43.8
Globus Spirits Ltd.,328.5,204.3,499.7,1592.5,1750.4,1434.9,1692.8,1341.8,1123.6,1131.9
Godfrey Phillips India Ltd.,1661.3,970.8,312.5,265.0,0.0,0.0,0.0,3091.8,2817.9,2664.6
Godrej Agrovet Ltd.,1046.4,1642.4,719.3,68.9,67.0,53.5,32.4,223.1,931.6,233.7
Godrej Consumer Products Ltd.,2602.2,0.0,0.0,0.0,0.0,0.0,0.0,49.4,314.4,204.2
Godrej Industries Ltd.,4223.6,6632.6,10127.8,10168.0,9852.8,4054.9,6250.0,5687.7,19929.0,33305.2
Gokaldas Exports Ltd.,0.0,641.6,267.4,0.0,0.0,0.0,0.0,286.6,1032.0,1040.8
Goldiam International Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,5.5
Granules India Ltd.,1407.2,2159.6,2426.7,1842.1,1242.3,4331.3,4787.8,4209.1,3411.5,2419.8
Graphite India Ltd.,1267.5,1001.7,417.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grasim Industries Ltd.,9809.2,10043.8,8565.4,6333.3,3836.8,8531.6,10551.1,27669.7,31348.0,30901.2
Gravita India Ltd.,93.8,71.0,14.7,63.0,200.3,147.8,125.2,333.2,466.6,1090.1
Great Eastern Shipping Co. Ltd.,31609.6,28049.6,25689.0,26134.3,37584.0,35849.6,33160.5,33317.7,32531.2,29802.2
Greaves Cotton Ltd.,0.4,0.0,0.0,0.0,0.0,0.0,0.0,114.2,75.8,108.8
Greenpanel Industries Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,4536.6,4410.6,3763.9,1782.6
Greenply Industries Ltd.,2353.5,2610.5,1266.2,1154.8,2574.2,4591.0,361.6,329.4,407.1,178.8
Grindwell Norton Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.6,46.7,66.5
Gufic Biosciences Ltd.,184.4,148.9,115.0,76.5,66.2,83.2,113.0,257.5,382.5,477.2
Gujarat Alkalies & Chemicals Ltd.,1954.4,1518.0,916.7,2224.7,2843.5,2298.2,1845.9,1377.9,4339.9,5496.4
Gujarat Ambuja Exports Ltd.,0.0,0.0,249.1,217.2,144.8,72.4,7.8,115.9,101.8,86.0
Gujarat Fluorochemicals Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4648.5,3735.8,4224.1
Gujarat Gas Ltd.,15000.0,15924.3,14907.9,17065.8,22914.1,22129.9,20891.5,18793.8,8403.1,5163.0
Gujarat Narmada Valley Fertilizers & Chemicals Ltd.,18186.6,16718.7,15268.5,10333.2,5334.1,0.0,0.0,6.7,10.5,9.7
Gujarat Pipavav Port Ltd.,3038.8,2819.4,0.0,0.0,0.0,0.0,0.0,395.6,244.7,347.1
Gujarat State Fertilizers & Chemicals Ltd.,2393.1,2243.7,1919.5,1061.3,518.7,2000.0,1466.7,933.3,0.0,17.0
